Time(s),X(m),Y(m),Theta(rad),Theta(deg)
0.000,0.012568,-0.002775,-0.008801,-0.504
0.307,0.012576,-0.002770,-0.008789,-0.504
0.307,0.012592,-0.002759,-0.008764,-0.502
0.307,0.012600,-0.002753,-0.008751,-0.501
0.308,0.012608,-0.002748,-0.008739,-0.501
0.308,0.012616,-0.002743,-0.008726,-0.500
0.308,0.012624,-0.002738,-0.008714,-0.499
0.308,0.012632,-0.002733,-0.008702,-0.499
0.309,0.012640,-0.002728,-0.008695,-0.498
0.309,0.012649,-0.002724,-0.008688,-0.498
0.309,0.012658,-0.002719,-0.008681,-0.497
0.309,0.012666,-0.002714,-0.008674,-0.497
0.313,0.012675,-0.002710,-0.008666,-0.497
0.338,0.012683,-0.002705,-0.008659,-0.496
0.364,0.012691,-0.002701,-0.008652,-0.496
0.384,0.012741,-0.002701,-0.008644,-0.495
0.409,0.012840,-0.002695,-0.008565,-0.491
0.430,0.012976,-0.002665,-0.008392,-0.481
0.449,0.013181,-0.002636,-0.008224,-0.471
0.479,0.013510,-0.002648,-0.008216,-0.471
0.492,0.014009,-0.002704,-0.008400,-0.481
0.512,0.014732,-0.002801,-0.008815,-0.505
0.529,0.015741,-0.002942,-0.009467,-0.542
0.550,0.017107,-0.003118,-0.010350,-0.593
0.568,0.018900,-0.003262,-0.011161,-0.639
0.589,0.020868,-0.002935,-0.010035,-0.575
0.607,0.022911,-0.002650,-0.008777,-0.503
0.630,0.025212,-0.002346,-0.007449,-0.427
0.655,0.027873,-0.001946,-0.005553,-0.318
0.675,0.030740,-0.001775,-0.004352,-0.249
0.700,0.033825,-0.001647,-0.003617,-0.207
0.720,0.037264,-0.001515,-0.003020,-0.173
0.740,0.041088,-0.001356,-0.002231,-0.128
0.764,0.045204,-0.000873,-0.000178,-0.010
0.783,0.049635,-0.000497,0.001579,0.090
0.804,0.054090,-0.000275,0.002335,0.134
0.821,0.058757,-0.000271,0.002397,0.137
0.842,0.063570,-0.001006,-0.000533,-0.031
0.864,0.068674,-0.001938,-0.004243,-0.243
0.885,0.073875,-0.002256,-0.006206,-0.356
0.905,0.079077,-0.002947,-0.009119,-0.522
0.926,0.084187,-0.003773,-0.012580,-0.721
0.948,0.089281,-0.004624,-0.015909,-0.912
0.968,0.093946,-0.006431,-0.024070,-1.379
0.991,0.098650,-0.008358,-0.031632,-1.812
1.008,0.103037,-0.010209,-0.039387,-2.257
1.032,0.107515,-0.011724,-0.045617,-2.614
1.051,0.111651,-0.013076,-0.050644,-2.902
1.072,0.115743,-0.014153,-0.054744,-3.137
1.093,0.119603,-0.015214,-0.058684,-3.362
1.117,0.123250,-0.016034,-0.061222,-3.508
1.134,0.126193,-0.016539,-0.062905,-3.604
1.157,0.128861,-0.017205,-0.064991,-3.724
1.175,0.131122,-0.017574,-0.066425,-3.806
1.196,0.133346,-0.017374,-0.064945,-3.721
1.213,0.135759,-0.017117,-0.063239,-3.623
1.239,0.137472,-0.016814,-0.061382,-3.517
1.258,0.139426,-0.016590,-0.059801,-3.426
1.276,0.140866,-0.017072,-0.061400,-3.518
